20	20	30
60	20	30
100	20	30
140	20	30
180	20	30
220	20	30
260	20	30
300	20	30
340	20	30
380	20	30
20	60	40
60	60	40
100	60	40
140	60	40
180	60	40
220	60	40
260	60	40
300	60	40
340	60	40
380	60	40
20	100	30
60	100	30
100	100	30
140	100	30
180	100	30
220	100	30
260	100	30
300	100	30
340	100	30
380	100	30
20	140	20
60	140	20
100	140	20
140	140	20
180	140	20
220	140	20
260	140	20
300	140	20
340	140	20
380	140	20
20	180	50
60	180	50
100	180	50
140	180	50
180	180	50
220	180	50
260	180	50
300	180	50
340	180	50
380	180	50
20	220	30
60	220	30
100	220	30
140	220	30
180	220	30
220	220	30
260	220	30
300	220	30
340	220	30
380	220	30
20	260	30
60	260	30
100	260	30
140	260	30
180	260	30
220	260	30
260	260	30
300	260	30
340	260	30
380	260	30
20	300	30
60	300	30
100	300	30
140	300	30
180	300	30
220	300	30
260	300	30
300	300	30
340	300	30
380	300	30
20	340	30
60	340	30
100	340	30
140	340	30
180	340	30
220	340	30
260	340	30
300	340	30
340	340	30
380	340	30
20	380	30
60	380	30
100	380	30
140	380	30
180	380	30
220	380	30
260	380	30
300	380	30
340	380	30
380	380	30
