20	20	1
20	60	1
20	100	3
20	140	1
20	180	3
20	220	4
20	260	0
20	300	3
20	340	0
20	380	5
60	20	0
60	60	5
60	100	5
60	140	5
60	180	0
60	220	6
60	260	1
60	300	7
60	340	4
60	380	1
100	20	2
100	60	6
100	100	1
100	140	3
100	180	3
100	220	1
100	260	4
100	300	1
100	340	6
100	380	3
140	20	0
140	60	3
140	100	6
140	140	1
140	180	7
140	220	2
140	260	3
140	300	0
140	340	1
140	380	6
180	20	7
180	60	3
180	100	6
180	140	2
180	180	1
180	220	0
180	260	1
180	300	0
180	340	6
180	380	5
220	20	5
220	60	4
220	100	7
220	140	1
220	180	0
220	220	6
220	260	0
220	300	6
220	340	4
220	380	4
260	20	0
260	60	4
260	100	4
260	140	6
260	180	6
260	220	3
260	260	2
260	300	3
260	340	4
260	380	1
300	20	7
300	60	6
300	100	1
300	140	4
300	180	4
300	220	1
300	260	2
300	300	4
300	340	6
300	380	3
340	20	0
340	60	1
340	100	1
340	140	5
340	180	7
340	220	1
340	260	1
340	300	0
340	340	0
340	380	0
380	20	3
380	60	4
380	100	0
380	140	5
380	180	6
380	220	1
380	260	2
380	300	1
380	340	5
380	380	1
